Job Title,DESCRIPTION ,Skills
Wordpress Developer,"This internship offers aspiring WordPress developers the opportunity to assist in developing and customizing WordPress websites. Interns will work with design and development teams to implement features and optimize websites for performance and SEO. The position is ideal for individuals eager to learn and apply the latest web technologies and WordPress best practices. Basic knowledge of WordPress development, HTML, CSS, and PHP is required, along with an understanding of website optimization and SEO principles.","WordPress, HTML, CSS, PHP, SEO"
Real Estate Sales Consultant,"As a Real Estate Sales Consultant, you will drive the success of commercial real estate projects by identifying potential clients and offering tailored solutions. Your role involves maintaining strong client relationships, communicating project value propositions, and collaborating with internal teams to ensure seamless project delivery. Staying updated on market trends and competitor activities will be essential to maintaining a competitive edge. A minimum of 1 year of experience in sales, preferably in real estate, along with strong communication, negotiation, and problem-solving skills, is required.","Real Estate Sales, Business Development, Client Relations, Sales Strategy, Market Insight, Communication, Negotiation, Problem Solving"
.NET Developer,"As a .NET Developer at iSOL TECHNOLOGIES, you will contribute to innovative projects by developing and maintaining applications using .NET and ADO.NET. You will create dynamic, responsive front-end interfaces and apply Object-Oriented Programming principles to design efficient software solutions. Additionally, your role will involve database design, optimization, and management using SQL, and working closely with cross-functional teams to implement new features and enhancements.",".NET, ADO.NET, jQuery, HTML, CSS, SQL, Object-Oriented Programming, Software Development, Database Management, Cross-functional Collaboration"
Junior Mobile App Developer,"As a Junior Mobile App Developer at Millions Bit Technologies, you will assist in developing mobile applications for iOS and Android platforms, collaborating with the team to build new features and enhance functionality. You will participate in testing, debugging, and optimizing code while maintaining and updating existing applications. This role offers the opportunity to stay up to date with the latest trends and best practices in mobile development and further enhance your technical skills.","iOS, Android, Mobile App Development, Flutter, React Native, Java, Kotlin, Swift, Testing, Debugging, Code Optimization, Feature Development, Team Collaboration, Problem-Solving"
React Frontend Developer,"As a React.js Frontend Developer at FuzixTech, you will develop and maintain dynamic web applications, collaborating with designers to bring creative user interfaces to life. You will optimize applications for performance and scalability, build reusable components, and ensure smooth user experiences by quickly addressing bugs. With your hands-on experience in React.js and related libraries, you will contribute to coding best practices and stay updated with the latest industry trends.","React.js, Redux, React Router, JavaScript (ES6+), HTML, CSS, State Management, Redux, Context API, RESTful APIs, Git, Code Reviews, Debugging, UI/UX Collaboration, Web Application Optimization"
Generative AI Engineer,"As a Junior Engineer in Generative AI at Nao Medical, you will support the development of AI-driven applications, utilizing your Python programming skills to implement generative AI solutions. You will work with global teams, ensuring clear communication of ideas and project updates. This position offers opportunities for professional growth and exposure to cutting-edge AI technologies in a collaborative, remote work environment.","Python, Generative AI, AI-driven Applications, Python Programming, English Communication, Automation, Cross-Functional Collaboration, AI Technologies, Coding, Stakeholder Communication"
MERN stack developer,"As a MERN Stack Developer at Expertizo, you will develop web applications using MongoDB, Express.js, React.js, and Node.js. Your role will involve designing, implementing, and troubleshooting software components while collaborating with the team to ensure high-quality code. You'll be responsible for working independently and contributing to a team-oriented environment, applying best practices for both front-end and back-end development.","JavaScript, React.js, Node.js, Express.js, MERN Stack, MongoDB, Git, RESTful APIs, Front-end Development, Back-end Development, Problem-Solving, Analytical Skills, Teamwork"
CMS Web Developer,"As a CMS Web Developer, you will be responsible for developing and maintaining WordPress, Duda, and Wix websites. Your tasks include designing and implementing new features, troubleshooting issues, and ensuring high performance and security. You will collaborate with cross-functional teams, lead projects, and mentor junior developers, all while staying updated with the latest technologies and trends in web development.","WordPress, Duda, Wix, CMS, HTML, CSS, JavaScript, PHP, Responsive Design, Mobile Design, SEO, Problem-Solving, Custom Theme Development, Plugin Development, MySQL, jQuery, RESTful APIs, Third-Party Integrations, Website Architecture, Performance Optimization, Communication, Collaboration, Leadership, Mentorship, Software Engineering, E-Commerce, Web Accessibility"
Junior Python Developer,"As a Python Developer at Preesoft Pvt Ltd, you will work on developing, testing, and maintaining web applications and back-end systems. You will collaborate with cross-functional teams to create efficient, scalable software solutions while optimizing performance and ensuring quality. Your role will include integrating third-party services, participating in code reviews, and staying updated with the latest Python technologies.","Python, Django, Flask, Web Development, RESTful APIs, Back-End Development, PostgreSQL, MySQL, MongoDB, Git, Agile, Problem-Solving, Communication, Teamwork, Code Reviews, Performance Optimization, Third-Party API Integration"
AI Analyst,"As an AI Specialist at Trilogy, you will design and build AI-driven automation systems to streamline processes and enhance productivity. You will experiment with advanced AI tools like GPT-4 Vision and Amazon CodeWhisperer, integrating them into development processes to optimize their performance. Your focus will be on creating scalable, fully automated AI solutions that improve efficiency across various applications, with the opportunity to innovate without the burden of traditional coding tasks.","LLMs, AI Automation, Python, AWS, Generative AI, GPT-4 Vision, Amazon CodeWhisperer, API Integration, Machine Learning, Software Development, AI Specialist, Machine Learning Engineer, Python Developer, Automation, Scalability, Productivity Tools, AWS Infrastructure"
Frontend Developer,"The role requires 3-4 years of experience in developing web applications using React.js and Next.js, with a solid understanding of responsive design and state management libraries. You should be proficient in front-end technologies like HTML, CSS, and JavaScript, and have experience with server-side rendering and APIs. The position involves collaboration with designers, implementing best practices for SEO, and potentially working with backend technologies such as Node.js and Django to build full-stack applications.","React.js, Next.js, HTML, CSS, JavaScript, Responsive Web Design, Redux, MobX, Webpack, Babel, RESTful APIs, Git, Jest, React Testing Library, Unit Tests, Server-Side Rendering, Next.js APIs, GraphQL, Apollo Client, Node.js, Express, UI/UX Design, SEO, Django, PostgreSQL"
Full Stack Developer,"This position requires 3 years of experience with Vue.js and Node.js, as well as proficiency in PostgreSQL and Python. The candidate will be responsible for developing scalable web applications, integrating APIs, and working with automation platforms like Zapier. Experience with payment processing solutions (e.g., Stripe) and email services (e.g., SendGrid) is essential, along with a focus on developing microservices and contributing to all stages of the development lifecycle. Fluency in English is required, and familiarity with AI tools and frameworks is a plus.","Vue.js, Node.js, PostgreSQL, Python, API Development, Integration, Zapier, Stripe, SendGrid, AI, Automation, Microservices, Scalable Web Applications, RESTful APIs, Third-Party Integrations, Payment Processing"
Mid level CMS Developer,"As a CMS Developer at Vinspyre, you will design and develop custom CMS solutions using platforms like WordPress, Wix, and Shopify. Your role will involve integrating CMS with marketing strategies, ensuring smooth content publishing, and optimizing CMS performance. A solid understanding of CMS platforms, web development technologies, and troubleshooting skills is required, alongside the ability to collaborate with teams to enhance website stability and security.","CMS Developer, WordPress, Wix, Shopify, HTML, CSS, JavaScript, PHP, Plugins, Modules, CMS Updates, CMS Performance, Security Checks, Content Publishing, Troubleshooting, CMS Trends, Website Architecture"
Next.js Developer,"The Next.js Developer will work on developing and maintaining Next.js applications, ensuring scalability, performance optimization, and responsiveness. The role requires collaborating with design and backend teams to implement new features, integrating APIs, and managing state with Redux. The ideal candidate will have strong JavaScript, React.js, and Tailwind CSS skills, experience with GitHub, and a focus on clean, maintainable code and testing.","Next.js, React.js, JavaScript ES6+, HTML, CSS, Redux, Tailwind CSS, GitHub, API Integration, Asynchronous Data Fetching, SEO, Performance Optimization, Vercel, Netlify, TypeScript, Server-Side Rendering, Custom Hooks, Containerization, CI/CD, Jest, Testing Library"
Next.js Programmer,"This remote position for a Next.js Programmer requires proficiency in React.js, Next.js, JavaScript, TypeScript, Redux, Redux Toolkit, Custom CSS, and Tailwind. The role involves collaboration with experienced developers via Google Meet, focusing on building scalable and high-performance web applications. Applicants should be skilled in creating reusable components with custom hooks and have experience in modern front-end development practices.","React.js, Next.js, JavaScript, TypeScript, Redux, Redux Toolkit, Custom CSS, Tailwind, Custom Hooks"
Vue.js - Front End Developer,"As a Vue.js Front-end Developer, you will be responsible for developing and maintaining responsive web applications by converting high-fidelity Figma designs into functional Vue.js components. The role involves integrating Postman-tested APIs and ensuring seamless data flow between back-end services and the front-end. You will also work closely with UI/UX designers and back-end developers to create optimized, scalable, and user-friendly applications. Proficiency in HTML, CSS, JavaScript, Vue.js, and Postman, along with experience in version control and responsive design, is essential. Hands-on experience with Formkit and knowledge of server deployment tools like AWS is a plus.","HTML, CSS, JavaScript, Vue.js, Vite, Pinia, Vue Router, Postman, Git, Figma, Formkit"
Upwork Bidder,"As an Online Bidder, you will be responsible for bidding on jobs posted on Upwork, Freelancer, and other platforms, targeting international clients for various services such as website design, development, graphic design, 2D/3D animation, E-commerce solutions, and Shopify stores. Your role will involve creating business proposals, quotations, and ensuring client satisfaction. You will work closely with the Digital Sales & Marketing Manager and be responsible for generating new business, managing proactive and reactive leads, and converting projects into long-term sales. Strong communication, negotiation skills, and a good understanding of bidding portals and digital marketing services are essential.","Upwork, Freelancer, Business Proposal, Digital Marketing, Freelance Bidding, MS Office, CRM, Communication, Negotiation, Time Management, Client Acquisition, Client Communication, Proposal Submission, Targeted Sale"
PHP Software Engineer,"We are looking for a Mid-Level Software Engineer with PHP expertise to join our team. You will be responsible for writing clean, efficient PHP code to develop and maintain scalable web applications, ensuring performance and security. Your tasks will include integrating front-end elements, troubleshooting, testing, and maintaining databases. You'll collaborate with cross-functional teams to understand requirements and contribute to all development lifecycle phases. Proficiency in PHP frameworks (Laravel or CodeIgniter), MySQL, Git, and front-end technologies (HTML, CSS, JavaScript) is required. Experience with cloud platforms, Docker, and CI/CD pipelines is a plus.","PHP, Laravel, CodeIgniter, HTML, CSS, JavaScript, jQuery, MySQL, Git, RESTful APIs, Agile, AWS, Azure, Google Cloud, Docker, CI/CD, Angular, React, Vue.js"
Python Developer,"This position is for a Python Developer with experience in cloud technologies, DevOps, and AI/ML integration. The role involves developing and maintaining Python applications for scalability and performance while collaborating with DevOps engineers for cloud deployment on AWS, GCP, or Azure. The developer will automate cloud processes, integrate AI models, optimize applications, and work with data pipelines. The ideal candidate should have strong knowledge of Python frameworks, cloud services, and DevOps tools, as well as the ability to collaborate effectively with cross-functional teams to meet business requirements.","PythoN, Django, Flask, Cloud Platforms, Cloud Services, DevOps Practices, Docker, Kubernetes, Jenkins, CI/CD Pipelines, AI/ML Integration, Firebase, Firestore, Data Structures, Algorithms, Object-Oriented Programming, SQL, NoSQL, APIs, Git, Cloud Security, Scalability, Performance Optimization, Troubleshooting, Cloud Infrastructure"
Senior Software Engineer,"We are seeking a skilled developer with extensive experience in Java/J2EE, Android Studio, and web technologies. You will design and implement large-scale software systems, collaborating with cross-functional teams to solve complex business problems. Key skills required include proficiency in Java, Spring MVC, Hibernate, JSP, Servlets, and experience with web services (REST, SOAP). You should also be experienced in JavaScript frameworks like jQuery and EXT JS, secure coding practices, and front-end technologies including HTML, CSS, and AJAX. Strong database knowledge and familiarity with Oracle or MySQL is also essential.","Java, J2EE, Android Studio, Core Java, Spring MVC, Maven, Hibernate, JSP, Servlets, Struts, AJAX, HTML, JavaScript, HTML5, CSS3, Bootstrap, Oracle, MySQL, SQL, XML, JSON, REST, SOAP, Web Services, Android SDK, iPhone SDK, jQuery, EXT JS, Secure Coding, XHTML"
Node.js Developer,"We are seeking a Node.js Developer to join Preesoft, a leading software development company. The ideal candidate will have 2-3 years of experience in Node.js, designing and implementing server-side logic, and working with RESTful APIs. Key responsibilities include developing and maintaining server-side applications, ensuring scalability, optimizing performance, and implementing security measures. Familiarity with microservices, databases (MongoDB, MySQL, PostgreSQL), version control (Git), and cloud platforms (AWS, Azure, GCP) is essential. Experience with testing frameworks (Mocha, Chai, Jest) and DevOps practices is a plus.","Node.js, Microservices, Express.js, JavaScript, MongoDB, MySQL, PostgreSQL, Git, HTML, CSS, AWS, Azure, Google Cloud, Docker, Mocha, Chai, Jest, DevOps, CI/CD, RESTful APIs"
Mobile App Developer,"We are looking for a skilled Mobile App Developer to design, develop, and maintain high-quality mobile applications for iOS, Android, or cross-platform environments. The ideal candidate will have proven experience in Swift (iOS), Kotlin (Android), or frameworks like React Native and Flutter. Responsibilities include building advanced applications, collaborating with cross-functional teams, ensuring UI/UX feasibility, and conducting thorough testing to ensure high-quality releases. Experience with RESTful APIs, push notifications, mobile security practices, and app deployment on App Store/Google Play is preferred.","Swift, Kotlin, React Native, Flutter, Mobile App Development, iOS, Android, Cross-Platform, UI/UX Design, RESTful APIs, Cloud Message APIs, Push Notifications, Agile, Scrum, App Store, Google Play, Mobile Security"
Machine Learning Engineer,"Hiring a Senior AI/ML Engineer to develop scalable AI and machine learning applications using Python, machine learning frameworks, and cloud services (AWS, Azure, GCP, Databricks). Responsibilities include designing machine learning models, integrating third-party AI/ML APIs, optimizing data pipelines, and deploying models in production environments. The role requires expertise in NLP, computer vision, machine learning testing methodologies, and tools like TensorFlow, PyTorch, Keras, and scikit-learn. A deep understanding of statistical models, algorithms, and cloud platforms is essential, with proficiency in Python and experience with AI-driven applications.","Python, AWS, Azure, GCP, Databricks, AI, Machine Learning, NLP, Computer Vision, OpenAI, TensorFlow, PyTorch, Keras, NumPy, pandas, scikit-learn, Transformers, Django, Flask, Git, Docker, Microservices, SQL, Data Visualization, Statistical Models, Cloud Platforms, R, Java"
Junior Hardware Engineer,"looking for a Junior Hardware Engineer (fresh graduates) to join their design and verification team in Karachi. The role involves verifying RTL and creating test cases, collaborating with the design and verification teams. The candidate should have a degree in electrical/computer engineering, skills in Verilog, System Verilog, or VHDL, and experience with C/C++ programming. Familiarity with verification methodologies like UVM, industrial standard interfaces such as AMBA, Ethernet, PCIe, and I2C is a plus. ","Verilog, System Verilog, VHDL, Tcl, Perl, C++, Object-Oriented Programming, Debugging, UVM, AMBA, Ethernet, PCIe, UART, I2C, ASIC, FPGA"
Technical Support Engineer,"The role involves troubleshooting and resolving customer problems related to Multinet products and solutions, ensuring high customer satisfaction throughout the process. Responsibilities include providing technical support via phone, managing customer inquiries, documenting customer interactions, diagnosing issues, and offering solutions while adhering to company policies. A technical degree in Telecom, Electronics, or Computer Science is required, along with the ability to manage multiple tasks, prioritize work, and maintain positive relationships with clients and teams. The position demands effective time management and a customer-focused approach to problem-solving.","Telecom, Electronics, Computer Science, Technical Support, Troubleshooting, Customer Satisfaction, CPE, Vendor Equipment, Support Database, Call Handling, Diagnosis, Solution Communication, Complaint Management, Multinet, Issue Resolution, Ticketing System, Documentation, Escalation Process, Time Management, Prioritization"
Technical Support Specialist,"The role involves providing technical support, troubleshooting, and product expertise to customers, internal employees, and distributors. Responsibilities include managing warranty claims, conducting root cause analysis, creating technical reports, and visiting customer sites for quality improvement. The position requires at least 4-6 years of field service experience with strong mechanical, electrical, and analytical skills, a BSc in Mechanical/Electrical Engineering, and a proactive, positive attitude. ","Technical Support, Troubleshooting, Product Support, Warranty Claims, Technical Data, Quality Improvement, Root Cause Analysis, On-Site Support, Mechanical Skills, Electrical Skills, Analytical Skills, Technical Training, Safety Procedures, PPE, Customer Support, Field Service, Technical Reports, BSc, Mechanical Engineering, Electrical Engineering, Problem-Solving, Self-Starter, Independent Judgment"
Production Support engineer,"The role involves coordinating with production teams to ensure mechanical designs are executed accurately on the floor. Responsibilities include troubleshooting CNC machining and fabrication processes, reviewing BOMs and BOQs, optimizing production workflows, and providing real-time support between R&D and production teams. The position requires a Bachelor’s degree in Mechanical Engineering, hands-on experience with CNC machining, fabrication processes, and technical drawing analysis, along with strong problem-solving and communication skills.","CNC Troubleshooting, Technical Drawing Analysis, Fabrication Troubleshooting, Laser Cutting, Plasma Cutting, Bending, Shearing, Production Process Optimization, Process Improvement, BOMs, BOQs, Production Support, R&D Coordination, Technical Collaboration, Mechanical Design, Manufacturing Workflows, Problem Solving, Communication, Mechanical Engineering Degree"
Technical Sales Engineer,"This role involves driving sales through a strong understanding of customer needs and technical offerings, conducting product demonstrations, providing pre-sales and post-sales support, and maintaining customer satisfaction. The ideal candidate will have a technical background in engineering or computer science, 2+ years of sales engineering experience, and be adept at presenting technical products, preparing proposals, and collaborating with internal teams. A self-motivated, target-driven individual with excellent communication and problem-solving skills is sought, along with the ability to travel and contribute to product and sales strategies.","Technical Sales, Sales Engineer, Product Demonstrations, Pre-Sales Support, Customer Relationships, Technical Expertise, Proposal Preparation, Tender Business Knowledge, Mechanical Knowledge, Technical Troubleshooting, Customer Training, Product Specifications, Solution Implementation, Market Feedback, Industry Trends, CRM, Sales Management Tools, Negotiation Skills, Multilingual, Cross-Functional Collaboration, Revenue Growth, Sales Target Achievement, Communication, Problem-Solving, Technical Presentations, Financial Business Case Modeling"
Backend Developer ,"This role is focused on backend development using MySQL and .NET, with proficiency in C# and complex SQL query writing. The candidate will ensure high-performance, quality, and responsive applications, while collaborating with frontend developers and system engineers for seamless integration and deployment. The ideal candidate will possess strong problem-solving skills, the ability to work independently, and a relevant degree in Computer Science or Software Engineering.","Backend Development, MySQL, .NET, C#, SQL Queries, Object-Oriented Principles, Performance Optimization, Problem Solving, Debugging, Time Management, Collaboration, Integration, Deployment, Computer Science, Software Engineering"
Electronic Engineer,"The role involves designing electronic circuits and developing embedded code in languages such as C and C++ for Alsons products. The candidate will collaborate with peers during code reviews, produce optimized and documented source code, and contribute to technical design documentation. This position also requires the ability to work on-site for emergency tasks, conduct conformity tests, and adhere to quality standards, with a focus on strong algorithm development and time management skills.","Electronic Circuit Design, Embedded C, C++, Software Engineering, Configuration Management, Code Reviews, Peer Collaboration, Documentation, Technical Design, Conformity Tests, Algorithm Development, Time Management, Customer Service, Quality Standards"
Site Supervisor,"The Site Supervisor will manage and oversee construction sites, ensuring that quality, safety, and scheduling standards are met. The role requires hands-on experience in site management, supervision, and coordination, along with strong skills in communication, reporting, and quality assurance. A background in construction supervision or a related field, combined with 2-3 years of experience, is essential for this role.","Site Management, Construction Supervision, Quality Assurance, Safety Management, Scheduling, Coordination, Communication, Reporting, Construction Management, Site Supervision"
Electrical Engineer,"The Electrical Engineer will be responsible for designing, developing, and implementing electrical systems. Key responsibilities include PLC programming, troubleshooting electrical systems, inverter handling, and electrical maintenance. Additionally, the role involves making electrical drawings, troubleshooting and programming HMI systems. Strong problem-solving, communication, and teamwork skills are essential for success in this position.","PLC Programming, Troubleshooting, Inverter Handling, Electrical Maintenance, Electrical Drawing Making, HMI Troubleshooting, HMI Programming, Electrical Engineering"
Site Engineer,"The Site Engineer/Supervisor will be responsible for ensuring that on-site execution aligns with proposed designs and drawings. This includes coordinating with the design and project management team, reporting on progress, and ensuring that inventory and timelines are properly managed. The role also requires knowledge of architectural and MEP drawings, along with familiarity with materials and construction processes to avoid errors during execution.","Site Engineer, Site Supervisor, Architectural Drawings, MEP Drawings, Construction, Execution Process, Material Knowledge, Inventory Management, Timely Reporting, Vendor Coordination, Gantt Chart, Project Management"
Mechanial Technician,"The Mechanical Technician will assist in mechanical design and maintenance tasks, ensuring the proper functioning of mechanical systems. Responsibilities include installing and testing equipment, developing maintenance plans, troubleshooting issues, and training co-workers on safety and equipment use. The technician will also manage parts inventory, optimize machinery efficiency, and maintain a clean work environment in line with industry regulations.","Mechanical Technician, Mechanical Design, Maintenance, Diagnostic Tests, Mechanical Systems, Maintenance Plans, Troubleshooting, Equipment Repairs, Service Records, Parts Management, Machinery Optimization, Training, Safety Regulations"
Construction Engineer," hiring a Civil Engineer for its Karachi office. The role includes site management, communication with customer engineers to ensure project success, and marketing management for new projects. The ideal candidate should have a Bachelor's degree in Civil Engineering, strong AutoCAD skills, and experience in a commercial or industrial environment. Excellent communication and knowledge of industry trends are essential.","Civil Engineer, AutoCAD, Site Management, Construction Projects, Communication, Customer Satisfaction, Marketing Management, Civil Engineering Degree, Industry Trends, Commercial Environment, Industrial Environment"
Service Engineer,"The role requires a candidate with a background in Electrical, Electronics, or Mechatronics Engineering (Fresh to Experienced). Responsibilities include safe operation of equipment, preventive and corrective maintenance, troubleshooting, and proper documentation of tasks. Strong knowledge of safety regulations, tools, fault diagnostics, and the ability to understand technical drawings are essential for this role.","Electrical Engineering, Electronics Engineering, Mechatronics, Preventive Maintenance, Corrective Maintenance, Troubleshooting, Safety Rules, Technical Drawings, Fault Diagnostic, Testing Devices, Technical Reports, Equipment Operation, Field Service, B.Tech, DAE"
Mechanical Engineer,"The mechanical engineer will be responsible for designing, analyzing, and improving mechanical systems and products. The role involves using CAD software for design, conducting simulations, performing structural integrity and performance calculations, and troubleshooting issues. The engineer will collaborate with teams to ensure timely project delivery, maintain quality standards, and propose innovative solutions based on industry trends and emerging technologies.","Mechanical Engineering, CAD Software, Technical Drawings, Structural Integrity, Efficiency, Performance, Troubleshooting, Cross-functional Collaboration, Project Management, Manufacturing, Quality Assurance, Procurement, Industry Standards, Safety Regulations, Environmental Compliance, Innovation, Emerging Technologies, Research"
Civil Engineer,"The role involves overseeing civil works and maintenance projects, managing contractors and vendors, and ensuring the successful completion of structures on time and within budget. The engineer will handle feasibility studies, design development, and site investigations while supervising staff and ensuring adherence to safety regulations. The engineer will also manage procurement, monitor quality, and communicate effectively with all project stakeholders, ensuring compliance with environmental regulations and safety standards.","Civil Engineering, Project Management, Feasibility Studies, Site Investigations, Design Development, Vendor Management, Tendering, Contractor Supervision, Risk Management, Project Drawings, Material and Equipment Procurement, Staff Supervision, Scheduling, Environmental Regulations, Building Permits, Safety Compliance, Reporting, Construction Management, Quality Assurance, Safety Practices, Risk Management"
Lab Engineer,"The position is open for fresh graduates with a BE/BS in Civil Engineering from an HEC-recognized institution, and candidates with relevant experience will be preferred. Applicants must submit scanned copies of their documents and verify their academic certificates. Candidates with a third division in their academic career or who are pursuing their required degree are ineligible.","Civil Engineering, Lab Engineering, BE/BS in Civil Engineering, HEC Recognition, Fresh Graduate, Academic Verification, Document Submission, NOC Requirement, Government Department Employees, Armed Forces Employees, Medical Fitness, Application Terms, Shortlisted Candidates, Interview/Selection Process, No TA/DA"
 Junior Java Software Engineer,"We are seeking fresh graduates or candidates with 6-8 months of experience (professional or freelance) who have a Bachelor's degree in Computer Sciences or Software Engineering. The ideal candidate should have a strong understanding of Object-Oriented Programming concepts, algorithms, and basic knowledge of agile development, Git, Maven, MySQL, or PostgreSQL. Familiarity with Java Spring Boot and an interest in learning or improving skills in RabbitMQ, Hibernate, JPA, and Java 8 or higher is required. The role also requires a good understanding of developing applications using Java EE platforms and creating RESTful APIs and back-end services.","OOP Concepts, Algorithms, Agile Development, Git, Maven, MySQL, PostgreSQL, Java Spring Boot, RabbitMQ, Java Spring Framework, Hibernate, JPA, Java 8 or higher, Java EE, RESTful APIs, Back-end Services"
Chief Engineer,"The Chief Engineer position  requires a professional to oversee maintenance operations, ensuring smooth functioning of essential systems like HVAC, generators, and fire alarms. The role demands expertise in electrical systems and resource optimization, particularly in managing utility bills and consumption. Candidates should have strong technical knowledge and a focus on safety and efficiency across all facility systems.","Heating, Ventilation, Air Conditioning Systems, Generator Operations, Fire Alarm Systems, Utility Management, Electrical Systems"
Entry Level C++ Software Engineer,"This Entry-Level C++ Software Engineer role offers an excellent opportunity for new graduates or those with limited experience to join a dynamic team. The position involves designing, developing, and maintaining software applications using C++ while collaborating with senior engineers. Candidates will have the chance to grow their skills in a fast-paced environment and work on projects that require problem-solving and continuous learning.","C++, Object-Oriented Programming, C++ Libraries, C++ Frameworks, Data Structures, Algorithms, Operating Systems, Git, Python, Java, Software Development Lifecycle, Agile Methodologies"
DevOps Engineer,"This DevOps Engineer role offers a chance to work in a fast-paced environment with a dynamic team, focusing on managing cloud infrastructure and automating deployment processes. The ideal candidate will have experience in Python, machine learning libraries, and cloud platforms like AWS, GCP, or Azure, along with expertise in CI/CD pipelines and containerization tools. The position also involves collaborating with data scientists to integrate machine learning workflows and ensure the security and reliability of the infrastructure.","Python, Machine Learning Libraries, TensorFlow, PyTorch, AWS, GCP, Azure, Docker, Kubernetes, Ansible, Terraform, Jenkins, Git, Continuous Integration, Continuous Deployment, Prometheus, Grafana, Serverless Architecture, Microservices Architecture"
