Job Title,Job Description,Job Skills,,,,,,,,,,,,,,,,,,,,,,,
IT Support Engineer,"Tekvaly is inviting fresh Computer Science graduates to participate in a Hands-on Fast Track Program designed to provide practical skills and experience for a successful career in IT. Participants will engage in team discussions, contribute innovative ideas, learn to understand software requirements, create technical documentation, and communicate effectively with team members. The program emphasizes collaboration, process improvement, and staying updated on the latest trends and technologies.","Software Principles, Object-Oriented Programming, Agile methodologies, Waterfall methodology, Scrum framework, logic building, analytical skills, teamwork, communication skills, adaptability, problem-solving skills.",,,,,,,,,,,,,,,,,,,,,,,
Frontend Developer,"Front End Engineer with a strong eye for design to drive end-to-end development and maintain the company’s brand, enhancing user experiences for customers. The role involves gathering user requirements, communicating design scenarios, and creating reusable widgets and components. The ideal candidate should be proficient in Angular 2+, React, and JavaScript, familiar with the agile (scrum) development process, and possess a self-motivated attitude toward writing clean code according to W3C standards.","Angular 2+, JavaScript, React, agile development, OOP concepts, data structuring.",,,,,,,,,,,,,,,,,,,,,,,
DevOps Engineer,"The Executive DT Software Engineering & DevOps role involves designing and developing a wide range of applications using the .NET Core framework, MVC, JavaScript, and creating user-friendly UIs with HTML and CSS. Responsibilities include building high-quality web applications, conducting software system testing, participating in requirements analysis, collaborating with teams on software design, writing scalable code, and ensuring software quality through regular testing and updates. The position requires supervising team members, developing documentation throughout the software development life cycle, and evaluating new code for architecture and performance.","C#.NET, .NET Core MVC, UI design, HTML5, CSS, Bootstrap, JavaScript, AJAX, jQuery, Visual Studio 2019 or higher, Docker integration, communication skills, interpersonal skills, analytical skills, time management, customer service orientation.",,,,,,,,,,,,,,,,,,,,,,,
Fullstack Web Developer,"The Full Stack Web Developer role involves solving problems, analyzing and isolating issues, and building solutions to support key business needs. Responsibilities include engineering components and common services, producing system design documents, collaborating with both technical and non-technical partners, and quickly learning new technologies. Candidates are expected to have a degree in computer science or a related field and possess significant experience in web development.","C#, ASP.NET MVC, .NET Core, Docker, JavaScript, jQuery, TypeScript, HTML/XHTML, CSS3, RESTful Services, MS Web API, SPA Framework, Entity Framework, WCF, MVVM, MVP, ReactJS, Power BI, SQL Server, complex stored procedures, Windows, Scaled Agile Framework, Object-Oriented Software, Design Patterns, Agile Development, cross-browser compatibility.",,,,,,,,,,,,,,,,,,,,,,,
Marketing Manager,"The role focuses on driving strategic marketing efforts across Business Banking & NeoBiz to achieve business objectives. Responsibilities include managing the marketing plan and budget, partnering with business key partners, delivering a proactive omni-channel experience, and tracking competitor activities. The candidate will oversee end-to-end business marketing campaigns to boost acquisition and engagement while defining strategies to drive traffic to various sales channels. The position also involves managing relationships with stakeholders, ensuring compliance with operational risk policies, and leading a team through performance reviews and change management.","Strategic marketing, acquisition and engagement, stakeholder management, digital marketing, SEO, Google AdWords, campaign management, analytics, leadership, crisis management, compliance and risk management, business banking expertise, creativity, team motivation, decision-making, brand building, performance tracking.",,,,,,,,,,,,,,,,,,,,,,,
Frontend Developer,"The Trainee Frontend Developer position is ideal for a self-directed and motivated individual with strong communication skills. The role involves working in a team environment within the R&D department, focusing on producing quality work in a timely manner. Candidates are expected to possess analytical and problem-solving skills, along with the ability to manage multiple tasks effectively. A bachelor's degree in computer science, engineering, or a related area is required, along with proficiency in HTML5, CSS3, and JavaScript. Familiarity with Bootstrap, SQL, and version control systems like GIT or SVN is considered beneficial.","English proficiency, analytical skills, problem-solving, multitasking, communication skills, self-motivation, organization, reliability, HTML5, CSS3, JavaScript, Bootstrap, SQL, GIT, SVN.",,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence Engineer,"The Responsible AI Trainee position focuses on ensuring the ethical, transparent, and accountable use of AI in healthcare applications. This role is essential in embedding responsible AI practices throughout the development, deployment, and maintenance of AI systems aimed at enhancing clinical decision-making and patient management. Key responsibilities include assisting in the ethical implementation of AI applications, supporting compliance with healthcare regulations, collaborating with cross-functional teams, conducting risk assessments, and contributing to the development of transparency and accountability frameworks in AI. Candidates should have a bachelor's degree in a relevant field, excellent problem-solving and analytical skills, and a commitment to ethical AI practices.","Ethical AI principles, compliance with healthcare regulations, risk assessment, collaboration, transparency, accountability, problem-solving, analytical skills, creative thinking, communication, attention to detail, AI frameworks, programming languages, Python, TensorFlow, PyTorch.",,,,,,,,,,,,,,,,,,,,,,,
IT Support Engineer,"The IT Support Lead will manage and support the IT infrastructure and services, focusing on maintaining performance and security while providing technical support to staff. This role involves overseeing IT operations within the Pakistan office, ensuring smooth functionality, monitoring hardware and software performance, and leading the deployment and maintenance of IT systems. The ideal candidate will possess strong leadership skills, have extensive experience in IT service support, and be adept in proactive incident management, user support, and training. The role also includes managing IT asset inventories, ensuring minimal downtime, conducting root cause analyses for recurring issues, and providing training to users on new software and systems.","IT service support, leadership, team management, IT infrastructure knowledge, problem-solving, critical thinking, ITIL practices, IT security standards, project management, remote support tools, communication skills, documentation accuracy.",,,,,,,,,,,,,,,,,,,,,,,
IT Support Engineer,"The GM Security Transformation and Engineering role is pivotal in deploying security tools, technologies, and solutions across the organization while shaping long-term cybersecurity strategies. This position involves developing and refining cybersecurity reference models and solution architectures, as well as ensuring compliance with security governance frameworks. The role also provides technical mentoring to Cybersecurity Engineering and Architecture teams, fostering awareness and training among employees regarding cybersecurity best practices. Key responsibilities include managing the cybersecurity governance delivery unit, ensuring timely delivery of cybersecurity projects, creating and managing security policies, and providing leadership to cybersecurity technology teams. Additionally, the role requires effective stakeholder management to integrate cybersecurity risk considerations into business initiatives.","Cybersecurity governance, project management, security engineering, stakeholder management, risk assessment, leadership, compliance, policy development, training and awareness, technical mentoring.",,,,,,,,,,,,,,,,,,,,,,,
IT Support Engineer,"The role involves the maintenance and operation of small to medium networks, including the configuration and installation of various network devices such as routers, switches, firewalls, load balancers, and VPNs. The candidate should have experience in administering user accounts, managing mail servers, printer servers, and web servers. Additionally, expertise in systems management and monitoring is required, along with skills in hardware repair, software installation, and maintenance. Familiarity with Active Directory, DHCP, DNS, and Radius Servers is essential, as well as proficiency in Mikrotik, PFsense, and hardware firewalls. Understanding virtualization technologies like VMware ESXi and Hyper-V is also necessary. Responsibilities include overseeing end-user workstation hardware and software troubleshooting, as well as performing server archiving and backup tasks. Experience with Asterisk servers for call center systems is a plus, along with team management skills.","Network maintenance, device configuration, user account administration, systems management, hardware repair, software installation, Active Directory, DHCP, DNS, Radius servers, Mikrotik, PFsense, virtualization technologies, troubleshooting, backup and archiving, Asterisk server knowledge, team management.",,,,,,,,,,,,,,,,,,,,,,,
Python Developer,"As a Python Developer, you will develop efficient Python solutions to solve complex problems and utilize your business acumen and analytical abilities to derive actionable insights from public databases. You will clearly explain reasoning and logic when writing code in Jupyter notebooks or similar platforms and collaborate with researchers to exchange ideas and insights effectively. Maintaining comprehensive documentation for all developed code is essential, along with applying data analysis skills to address key business queries using diverse datasets, including those from Kaggle, the UN, and government sources.","Python, data analysis, problem-solving, documentation, collaboration, communication, algorithms, reasoning, Jupyter notebooks.",,,,,,,,,,,,,,,,,,,,,,,
Java Developer,"We are seeking a highly motivated and talented Junior Software Developer to join our client's team. The ideal candidate will collaborate with the development team to design, develop, and maintain software solutions while writing clean and efficient code using the latest programming languages and tools. Responsibilities include participating in code reviews, troubleshooting and debugging existing software, staying up-to-date with emerging technologies, assisting in software testing strategies, and contributing to the overall improvement of the development process.","Angular, Java Spring Boot, SQL Server, Object Oriented Programming, HTML, CSS, JavaScript, database design, problem-solving, analytical skills, communication, teamwork.",,,,,,,,,,,,,,,,,,,,,,,
Project Manager,"In this role, you will be responsible for identifying and assessing potential new channels for rider acquisition, including retail partnerships, NGOs, educational institutions, and various marketing activities. You will develop and implement strategies to onboard and integrate these new channels into the acquisition network, conducting market research to identify trends and opportunities. Additionally, you will establish and cultivate relationships with new channel partners, ensuring alignment with business objectives, and negotiate partnership agreements. You will define and enforce quality standards for partners, monitor channel performance using key metrics, analyze results, and implement improvements based on feedback from partners and stakeholders to enhance effectiveness.","Channel acquisition, partnership management, market research, negotiation, performance monitoring, quality assurance, communication, strategic planning, relationship building, feedback analysis.",,,,,,,,,,,,,,,,,,,,,,,
.NET Developer,"We are seeking a Trainee Software Developer to join our team, focusing on developing critical business applications within the next-generation software suite. You will contribute to high-quality enhancements and maintenance of the POMSnet web application and develop proof-of-concept or prototype code for potential new functionalities. Additionally, you will participate in internal and cross-team meetings, gather requirements, scope projects, make decisions, and contribute to technical documentation.","C#, ASP.Net, JavaScript, SQL, AJAX, jQuery, Web Services, JSON, HTML5, CSS3, responsive web design, TFS, Visual Studio, Oracle, Microsoft Office Suite.",,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence Engineer,"The role requires proficiency in one or more programming languages, such as Swift, Python, Java, Go, Verilog, JavaScript, C++, or C#. You will evaluate the quality of AI-generated code, solve coding problems, optimize code for efficiency, write robust test cases, and provide human-readable summaries and explanations of coding solutions.","Swift, Python, Java, Go, Verilog, JavaScript, C++, C#, code optimization, test case writing, problem-solving, English fluency.",,,,,,,,,,,,,,,,,,,,,,,
React Developer,"The ideal candidate will have over 4 years of experience and proficiency in both front-end and back-end technologies, including React JS, TypeScript, Node.js, and Express APIs. Responsibilities include developing user interfaces for modern applications, performing product analysis, writing documented code, making design decisions, and ensuring optimal performance and user experience.","React JS, TypeScript, Axios, Chart.js, React Redux, Redux Saga, HTML, CSS, SCSS, JavaScript, Material UI, Node.js, Express APIs, Object-Oriented Design, Data Structures, TDD, unit testing, agile development.",,,,,,,,,,,,,,,,,,,,,,,
Python Developer,"The role involves designing and implementing projects tailored to client specifications, developing customized solutions using Python and JSON, and providing technical support and maintenance. Responsibilities also include creating business proposals, contributing to sales presentations, and identifying opportunities for automation to enhance efficiency.","Python, data analysis, Jupyter notebooks, problem-solving, algorithmic principles, communication skills, Django.",,,,,,,,,,,,,,,,,,,,,,,
Python Developer,"This role requires a Python Data Developer who will oversee peer code reviews to enhance code integrity through constructive critiques. You will craft Python code to solve challenges with precision and leverage business acumen and analytical skills to extract insights from publicly available databases. Clear articulation of reasoning and logic in code, particularly within Jupyter notebooks or similar platforms, is essential. Collaboration with researchers to exchange knowledge and ideas is expected, along with comprehensive documentation of developed code for transparency and reproducibility. Additionally, you will apply data analysis skills to address critical business queries using various datasets, including those from Kaggle, the UN, and government sources.","Python, data analysis, Jupyter notebooks, problem-solving, algorithmic principles, communication skills.",,,,,,,,,,,,,,,,,,,,,,,
Human Resource,"The role of a Placement Matching Specialist involves securing remote internship placements with innovative companies worldwide. You will be responsible for persuading companies to accept interns, even those who might not meet conventional qualifications, by highlighting their potential. Building trusted relationships with companies and advising them on their intern needs is crucial, as is handling administrative tasks to ensure smooth placements. You’ll conduct online meetings to showcase interns and the product, while sourcing companies through various outreach methods.","persuasion, relationship building, administrative skills, creative problem-solving, adaptability, remote work proficiency.",,,,,,,,,,,,,,,,,,,,,,,
Scrum Master,"The role of a Scrum Master - Technology Enablement is crucial in advancing S&P’s engineering team and Agile practices. You will drive technology projects and deliver outcomes in collaboration with product owners. Your responsibility will include ensuring that work is well-defined, stays on schedule, and remains free from impediments by using appropriate Agile methodologies. You will lead daily scrum meetings, manage backlogs, and collaborate with technical and business stakeholders to prioritize tasks. The position also involves documenting milestones and risks while focusing on continuous improvement and fostering a learning environment.","Agile methodologies, Scrum, project management, team collaboration, risk management, database analysis, Jira/Azure DevOps proficiency, communication skills.",,,,,,,,,,,,,,,,,,,,,,,
Fullstack Web Developer,"This role requires proven experience of 4+ years in fullstack development with backend expertise, strong knowledge of front-end frameworks (React, Vue, or Angular) and back-end technologies (NodeJS), in-depth understanding of database management and system architecture, experience with CMS platforms and their integration, knowledge of SEO principles and best practices, excellent leadership, communication, and organizational skills, and the ability to work in a fast-paced environment and manage multiple priorities.","Fullstack development, React, Vue, Angular, NodeJS, database management, system architecture, CMS integration, SEO principles, leadership, communication, organizational skills, multitasking.",,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,"This role requires a motivated Junior Software Developer to assist in developing, testing, and maintaining software applications. The ideal candidate will help in software development and coding, conduct software testing and debugging, collaborate with senior developers on projects, and maintain and update existing software.","Angular, Spring Boot, Flutter, Node.js, Java, SQL, software development life cycle, problem-solving skills, eagerness to learn.",,,,,,,,,,,,,,,,,,,,,,,
Category Manager,"This role requires overseeing the procurement process of Rice, Pulses, Flour, Dry Fruits, and Sugar while being responsible for the overall profitability of the commodities category. The candidate will manage the end-to-end process of both unbranded and branded ranges within the commodities portfolio, balancing day-to-day business operations across various lines such as business analysis, vendor management, and quality assurance. Collaboration with cross-functional teams to set and meet daily and quarterly goals is essential, along with working closely with the Platform Manager on timely stock receiving and deliveries. The role includes overseeing and reporting on weekly, monthly, quarterly, and annual metrics, identifying trends, and assessing opportunities for process improvement.","Procurement process management, commodities expertise, business analysis, vendor management, quality assurance, excellent communication, negotiation skills, operational management, metrics reporting.",,,,,,,,,,,,,,,,,,,,,,,
Project Manager,"This role requires being part of a revolutionary change at PMI, contributing to the mission of delivering a smoke-free future. Day-to-day responsibilities include monitoring project timelines to ensure tasks are completed on schedule, providing regular updates to stakeholders, and facilitating effective communication. The candidate will prepare and manage comprehensive project reports using Excel, create engaging presentations with PowerPoint to showcase project status and outcomes, oversee the lead management process with timely updates, and design and evaluate consumer programs.","Excellent communication and interpersonal skills, strong analytical and reporting skills, proficiency in MS Excel and PowerPoint.",,,,,,,,,,,,,,,,,,,,,,,
Frontend Developer,"This role requires a Frontend Engineer to design and implement the user interface of web applications, working closely with product designers and backend engineers to deliver a seamless user experience. Key responsibilities include developing responsive, high-performance web interfaces using React and Next.js with Tailwind, writing clean and maintainable code in TypeScript, collaborating with UX/UI designers to translate design wireframes into functional code, and integrating frontend components with APIs. The engineer will also be responsible for testing and quality assurance, performance optimization, code reviews, and continuous improvement of development processes while mentoring junior engineers.","React, Next.js, Tailwind, TypeScript, Jest, Cypress, HTML, CSS, JavaScript ES6+, Git, GitHub, Recoil, Context API.",,,,,,,,,,,,,,,,,,,,,,,
Fullstack Web Developer,"This role requires a Full-stack Developer to build software functionality and actively participate in the delivery team across the entire tech stack. The developer will be responsible for ensuring high-quality code, efficient application design, and adherence to modern coding practices and architectural principles. Key responsibilities include supporting the product owner in defining future stories, designing and developing backend systems, writing tests, and collaborating with other developers and quality assurance teams. The ideal candidate will have a passion for development, a commitment to continual learning, and an ability to challenge ideas to prevent inefficiencies.","SpringBoot, Node.js, Hapi.js, Express.js, Meteor.js, Nest.js, ReactJS, React Native, unit testing, acceptance testing, continuous integration, test-driven development, code refactoring, design patterns, microservices architecture, agile methodologies.",,,,,,,,,,,,,,,,,,,,,,,
Database Engineer,"This role requires a professional to develop and implement strategies for alumni engagement, manage events and programs, and foster relationships with alumni, donors, and stakeholders. Responsibilities include maintaining accurate records and database management, creating and disseminating alumni communications, and collaborating with academic departments. The ideal applicant should demonstrate the ability to work both independently and as part of a team and possess a willingness to learn various software tools related to alumni management, email marketing, social media, and event management.","Alumni database software, Raiser's Edge, email marketing platforms Mailchimp, social media management tools Hootsuite, event management software Eventbrite, event planning, community engagement.",,,,,,,,,,,,,,,,,,,,,,,
Python Developer,"This role requires a Python Developer responsible for guiding peer code reviews and fostering an environment of constructive feedback. The position involves writing robust Python code to address complex issues, applying analytical skills to derive insights from public databases, and effectively collaborating with researchers. You will articulate your reasoning clearly in Jupyter notebooks, ensure comprehensive documentation for transparency, and leverage data analysis expertise to answer critical business inquiries using diverse datasets. Ideal candidates will have a background in Engineering or Computer Science, proficiency in Python, and strong problem-solving and communication skills.","Python, Jupyter notebooks, data analysis, algorithmic concepts, documentation, problem-solving, communication skills.",,,,,,,,,,,,,,,,,,,,,,,
Scrum Master,"This role requires a Scrum Master to guide the Risk & Compliance team in implementing technical solutions, partnering closely with product owners, business stakeholders, and technical teams to ensure timely, high-quality delivery. Responsibilities include leading agile processes, managing risks, and aligning team actions with project goals, fostering continuous improvement. Ideal candidates will have experience as a Business Analyst, Business Systems Analyst, or Scrum Master in a data-driven environment, working knowledge of agile frameworks, and strong collaboration skills.","agile frameworks, Scrum, project delivery, stakeholder collaboration, SQL, Jira/Azure DevOps, communication, organizational skills, multitasking, problem-solving, interpersonal skills, Scrum certifications",,,,,,,,,,,,,,,,,,,,,,,
Product Manager,"This role requires a product manager to assist in developing and managing digital educational products, working with cross-functional teams to align product features with customer needs and business goals. Key responsibilities include defining product specifications, collaborating on content creation, conducting market research, managing project timelines, performing user testing, and developing user training materials.","project management, product management, programming, web technologies, digital media applications, MS Office Suite, market research, collaboration, user testing, communication, presentation skills",,,,,,,,,,,,,,,,,,,,,,,
Mobile Application Developer,"Role requires leading a team of mobile developers to design, develop, and maintain mobile applications, with a focus on quality, iterative delivery, and agile practices. Responsibilities include technical leadership, hands-on coding, mentoring, code quality enforcement, and collaboration with cross-functional teams to deliver scalable solutions. In addition to guiding team practices, the role involves user-focused product delivery, mobile platform expertise, and adoption of modern development standards in a hybrid work setup.","team leadership, mobile app development, iOS, Android, React Native, Swift, Kotlin, agile methodologies, CI/CD, SOLID principles, software testing, TDD, DORA metrics, conflict resolution, backend integration, English proficiency, DevOps, mobile deployment





",,,,,,,,,,,,,,,,,,,,,,,
Python Developer,"Role requires developing and maintaining SaaS products as a Full-Stack Python Developer. Responsibilities include working on both front-end and back-end aspects of applications to support efficient, scalable solutions.","Python, HTML, CSS, JavaScript, Django, Flask, SQL, NoSQL, web development, SaaS architecture, problem-solving, attention to detail",,,,,,,,,,,,,,,,,,,,,,,
PHP Developer,"Role requires developing new user-facing features and collaborating with design teams to create high-quality, responsive web applications. Responsibilities include building reusable components, troubleshooting, optimizing application performance, and ensuring cross-browser compatibility.",PHP Developer,,,,,,,,,,,,,,,,,,,,,,,
Fullstack Web Developer,"Role requires a Full-Stack Developer skilled in Python and JavaScript/TypeScript to develop AI-driven solutions, streamline processes, and collaborate closely with researchers to translate requirements into actionable results. Key responsibilities include enhancing code functionality, automating responses, resolving issues, and communicating effectively with stakeholders.","Python, JavaScript, TypeScript, problem-solving, software engineering methodologies, scripting, algorithmic solutions, clear communication.",,,,,,,,,,,,,,,,,,,,,,,
UI/UX Designer,"This role requires a Senior UI/UX Designer with over four years of experience in designing high-impact digital products. The candidate will lead design initiatives, conduct user research, create prototypes, and manage both local and international projects. They will also mentor junior designers, collaborate across teams, and streamline design processes for scalability and efficiency.","UI/UX design, user research, prototyping, team leadership, stakeholder management, process improvement, global project management, Figma, Adobe XD, Sketch, visual design, problem-solving, communication, adaptability, proactive approach, ownership",,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,"This role requires designing and implementing software components for internal systems, managing project plans, and enhancing existing solutions. The responsibilities include analyzing requirements, developing task breakdowns, and solving complex problems. Candidates will work with C#, SQL, React, TypeScript, and other technologies, ensuring high-quality and efficient solutions through SDLC methodologies and relational database management.","C#, SQL, React, TypeScript, SDLC methodologies, relational databases, Transact SQL, HTML, CSS, AWS, SQL Server, PostgreSQL, automated unit testing, REST API, microservices",,,,,,,,,,,,,,,,,,,,,,,
Product Manager,"This role requires a Packaging Technologist to support technical packaging requirements and drive projects within set budgets and deadlines. The successful candidate will collaborate closely with various teams, including Procurement and Quality Management, to ensure that supplier selection processes are applied effectively. Responsibilities include updating and publishing packaging specifications, conducting tests, and supporting the technical implementation of packaging projects. The role also involves maintaining effective relationships with suppliers and participating in multifunctional teams to achieve project goals.","Mechanical Engineering, Computer Engineering, FMCG experience, programming, Python, MATLAB, packaging materials knowledge, manufacturing technology, planning and organization, adaptability, self-motivation, goal achievement, communication, analytical skills, PowerBI, Microsoft Power Automate.",,,,,,,,,,,,,,,,,,,,,,,
SQA Engineer,"This role requires a Software Testing Intern to work closely with the testing team to ensure the quality and functionality of the company's products. The intern will be responsible for developing test cases, executing them, and reporting any bugs found. Additionally, the intern will participate in regression and performance testing while contributing to the continuous improvement of testing processes. This position offers hands-on experience in software testing methodologies and tools, making it an excellent opportunity for those passionate about software quality.","Java programming, problem-solving, analytical thinking, test automation, Selenium, TestNG, manual testing, writing test cases, bug reporting, strong communication skills.",,,,,,,,,,,,,,,,,,,,,,,
Data Analyst,"This role requires a Data Analyst to organize and analyze data related to performance management and workload analysis. The candidate will utilize technical expertise to ensure data accuracy and quality, analyzing and presenting insights that assist stakeholders in decision-making. Responsibilities include collecting, cleansing, and interpreting data, using statistical tools to identify trends, defining key performance measures, and preparing final analysis reports for management. The ideal candidate will work collaboratively with developers and project managers to propose process improvements and data governance strategies.","Data analysis, SQL, Microsoft Excel, Power BI, statistical analysis, report writing, problem-solving, communication skills.",,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,"This role requires a Software Engineer with 3 to 5 years of hands-on experience in software development to work within an agile team. The responsibilities include developing software products and modules based on business requirements, monitoring system performance, collaborating with team members, providing technical feedback, creating innovative solutions, testing software, and ensuring timely task completion.",".NET Core, Angular, JavaScript, Ajax, jQuery, React JS, microservices, web APIs, MS SQL, IIS, agile methodology, communication skills, teamwork.",,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,"This role requires a Software Engineer with at least 4 years of experience in front-end and back-end development. Responsibilities include developing user interfaces for modern applications, conducting product analysis, writing tested and documented code, making design decisions, ensuring high performance, and simplifying complex workflows.","problem-solving skills, software architecture, design concepts, English communication, React JS, TypeScript, Axios, Chart.js, React Redux, Redux Saga, HTML, CSS, SCSS, JavaScript, Material UI, Node.js, Express APIs, object-oriented design, data structures, TDD, unit testing, agile environment.",,,,,,,,,,,,,,,,,,,,,,,
